card,segment,abc_revenue
2000200235408,Под угрозой,B
2000200239093,Под угрозой,B
2000200239369,Под угрозой,B
2000200203063,Под угрозой,B
2000200218920,Под угрозой,B
2000200232568,Под угрозой,B
2000200238218,Под угрозой,B
2000200231646,Под угрозой,B
2000200219422,Под угрозой,B
2000200180258,Под угрозой,B
2000200178842,Под угрозой,B
2000200222804,Под угрозой,B
2000200238447,Под угрозой,B
2000200212560,Под угрозой,B
2000200220114,Под угрозой,B
2000200239666,Под угрозой,B
2000200179689,Под угрозой,B
2000200179573,Под угрозой,B
2000200243236,Под угрозой,B
2000200240051,Под угрозой,B
2000200235194,Под угрозой,B
2000200158295,Под угрозой,B
2000200244165,Под угрозой,B
2000200241638,Под угрозой,B
2000200223870,Под угрозой,B
2000200220701,Под угрозой,B
2000200242994,Под угрозой,B
2000200237983,Под угрозой,B
2000200232070,Под угрозой,B
2000200227984,Под угрозой,B
2000200242819,Под угрозой,B
2000200202721,Под угрозой,B
2000200242741,Под угрозой,B
2000200220664,Под угрозой,B
2000200239017,Под угрозой,B
2000200200949,Под угрозой,B
2000200209584,Под угрозой,B
2000200212195,Под угрозой,B
2000200166382,Под угрозой,B
2000200231288,Под угрозой,B
2000200194064,Под угрозой,B
2000200243502,Под угрозой,B
2000200173830,Под угрозой,B
2000200212355,Под угрозой,B
2000200188247,Под угрозой,B
2000200233497,Под угрозой,B
2000200192909,Под угрозой,B
2000200207818,Под угрозой,B
2000200237105,Под угрозой,B
2000200236498,Под угрозой,B
2000200229070,Под угрозой,B
2000200179443,Под угрозой,B
2000200219019,Под угрозой,B
2000200203889,Под угрозой,B
2000200207894,Под угрозой,B
2000200228103,Под угрозой,B
2000200230182,Под угрозой,B
2000200240914,Под угрозой,B
2000200233602,Под угрозой,B
2000200245629,Под угрозой,B
2000200248811,Под угрозой,B
2000200214243,Под угрозой,B
2000200186991,Под угрозой,B
2000200221548,Под угрозой,B
2000200245247,Под угрозой,B
2000200198963,Под угрозой,B
2000200210535,Под угрозой,B
2000200234869,Под угрозой,B
2000200186267,Под угрозой,B
2000200244240,Под угрозой,B
2000200155263,Под угрозой,B
2000200232148,Под угрозой,B
2000200241447,Под угрозой,B
2000200219286,Под угрозой,B
2000200202233,Под угрозой,B
2000200193999,Под угрозой,B
2000200240990,Под угрозой,B
2000200230229,Под угрозой,B
2000200202301,Под угрозой,B
2000200248231,Под угрозой,B
2000200244011,Под угрозой,B
2000200209164,Под угрозой,B
2000200239314,Под угрозой,B
2000200235217,Под угрозой,B
2000200222156,Под угрозой,B
2000200241133,Под угрозой,B
2000200246510,Под угрозой,B
2000200230175,Под угрозой,B
2000200207191,Под угрозой,B
2000200229094,Под угрозой,B
2000200238430,Под угрозой,B
2000200194835,Под угрозой,B
2000200171980,Под угрозой,B
2000200196402,Под угрозой,B
2000200194156,Под угрозой,B
2000200243458,Под угрозой,B
2000200193425,Под угрозой,B
2000200240174,Под угрозой,B
2000200225362,Под угрозой,B
2000200245759,Под угрозой,B
2000200227960,Под угрозой,B
2000200222460,Под угрозой,B
2000200240525,Под угрозой,B
2000200152590,Под угрозой,B
2000200238195,Под угрозой,B
2000200241713,Под угрозой,B
2000200163237,Под угрозой,B
2000200237082,Под угрозой,B
2000200244172,Под угрозой,B
2000200222989,Под угрозой,B
2000200240846,Под угрозой,B
2000200214786,Под угрозой,B
2000200218418,Под угрозой,B
2000200240112,Под угрозой,B
2000200247302,Под угрозой,B
2000200237075,Под угрозой,B
2000200241652,Под угрозой,B
2000200245131,Под угрозой,B
2000200248071,Под угрозой,B
2000200154259,Под угрозой,B
2000200237440,Под угрозой,B
2000200180296,Под угрозой,B
2000200171256,Под угрозой,B
2000200188643,Под угрозой,B
2000200155287,Под угрозой,B
2000200240211,Под угрозой,B
2000200237174,Под угрозой,B
2000200225577,Под угрозой,B
2000200237402,Под угрозой,B
2000200244059,Под угрозой,B
2000200205432,Под угрозой,B
2000200238270,Под угрозой,B
2000200224242,Под угрозой,B
2000200215165,Под угрозой,B
2000200241621,Под угрозой,B
2000200238973,Под угрозой,B
2000200215141,Под угрозой,B
2000200157120,Под угрозой,B
2000200245414,Под угрозой,B
2000200196938,Под угрозой,B
2000200223702,Под угрозой,B
2000200236283,Под угрозой,B
2000200242840,Под угрозой,B
2000200239338,Под угрозой,B
2000200174776,Под угрозой,B
2000200183266,Под угрозой,B
2000200176909,Под угрозой,B
2000200213819,Под угрозой,B
2000200213833,Под угрозой,B
2000200189046,Под угрозой,B
2000200210122,Под угрозой,B
2000200245193,Под угрозой,B
2000200239307,Под угрозой,B
2000200221692,Под угрозой,B
2000200231684,Под угрозой,B
2000200210603,Под угрозой,B
2000200244660,Под угрозой,B
2000200241737,Под угрозой,B
2000200240877,Под угрозой,B
2000200237020,Под угрозой,B
2000200239215,Под угрозой,B
2000200239987,Под угрозой,B
2000200249900,Под угрозой,B
2000200231875,Под угрозой,B
2000200240884,Под угрозой,B
2000200237914,Под угрозой,B
2000200187325,Под угрозой,B
2000200223566,Под угрозой,B
2000200238898,Под угрозой,B
2000200246589,Под угрозой,B
2000200231806,Под угрозой,B
2000200214465,Под угрозой,B
2000200240143,Под угрозой,B
2000200239024,Под угрозой,B
2000200169628,Под угрозой,B
2000200213338,Под угрозой,B
2000200208723,Под угрозой,B
2000200159452,Под угрозой,B
2000200179337,Под угрозой,B
2000200229667,Под угрозой,B
2000200243144,Под угрозой,B
2000200245308,Под угрозой,B
2000200237006,Под угрозой,B
2000200154709,Под угрозой,B
2000200243373,Под угрозой,B
2000200239413,Под угрозой,B
2000200226697,Под угрозой,B
2000200164579,Под угрозой,B
2000200224952,Под угрозой,B
2000200205371,Под угрозой,B
2000200171775,Под угрозой,B
2000200215264,Под угрозой,B
2000200245186,Под угрозой,B
2000200194231,Под угрозой,B
2000200233886,Под угрозой,B
2000200182160,Под угрозой,B
2000200209874,Под угрозой,B
2000200231547,Под угрозой,B
2000200239550,Под угрозой,B
2000200238393,Под угрозой,B
2000200239048,Под угрозой,B
2000200241744,Под угрозой,B
2000200231660,Под угрозой,B
2000200235989,Под угрозой,B
2000200241553,Под угрозой,B
2000200190707,Под угрозой,B
2000200239406,Под угрозой,B
2000200187110,Под угрозой,B
2000200222354,Под угрозой,B
2000200157298,Под угрозой,B
2000200236580,Под угрозой,B
2000200161059,Под угрозой,B
2000200241690,Под угрозой,B
2000200205814,Под угрозой,B
2000200202318,Под угрозой,B
2000200184973,Под угрозой,B
2000200173724,Под угрозой,B
2000200240686,Под угрозой,B
2000200205586,Под угрозой,B
2000200213802,Под угрозой,B
2000200240082,Под угрозой,B
2000200245285,Под угрозой,B
2000200231745,Под угрозой,B
2000200238126,Под угрозой,B
2000200193029,Под угрозой,B
2000200215462,Под угрозой,B
2000200242680,Под угрозой,B
2000200237846,Под угрозой,B
2000200166221,Под угрозой,B
2000200240150,Под угрозой,B
2000200241706,Под угрозой,B
2000200235064,Под угрозой,B
2000200236429,Под угрозой,B
2000200231622,Под угрозой,B
2000200229421,Под угрозой,B
2000200241409,Под угрозой,B
2000200243465,Под угрозой,B
2000200236535,Под угрозой,B
2000200245292,Под угрозой,B
2000200207382,Под угрозой,B
2000200224938,Под угрозой,B
2000200242826,Под угрозой,B
2000200159926,Под угрозой,B
2000200243106,Под угрозой,B
2000200228486,Под угрозой,B
2000200198918,Под угрозой,B
2000200231042,Под угрозой,B
