card,segment,abc_revenue
2000200181149,Потерянные,C
2000200180104,Потерянные,C
2000200193265,Потерянные,C
2000200221050,Потерянные,C
2000200191001,Потерянные,C
2000200213123,Потерянные,C
2000200182344,Потерянные,C
2000200159438,Потерянные,C
2000200196983,Потерянные,C
2000200207788,Потерянные,C
2000200215882,Потерянные,C
2000200216506,Потерянные,C
2000200222927,Потерянные,C
2000200193579,Потерянные,C
2000200209980,Потерянные,C
2000200225119,Потерянные,C
2000200211570,Потерянные,C
2000200171713,Потерянные,C
2000200153009,Потерянные,C
2000200216742,Потерянные,C
2000200209447,Потерянные,C
2000200196624,Потерянные,C
2000200209102,Потерянные,C
2000200194057,Потерянные,C
2000200201199,Потерянные,C
2000200196648,Потерянные,C
2000200196891,Потерянные,C
2000200194408,Потерянные,C
2000200227823,Потерянные,C
2000200227793,Потерянные,C
2000200209256,Потерянные,C
2000200182917,Потерянные,C
2000200197003,Потерянные,C
2000200222798,Потерянные,C
2000200206644,Потерянные,C
2000200219606,Потерянные,C
2000200190578,Потерянные,C
2000200207313,Потерянные,C
2000200213246,Потерянные,C
2000200167495,Потерянные,C
2000200157427,Потерянные,C
2000200204343,Потерянные,C
2000200220282,Потерянные,C
2000200211556,Потерянные,C
2000200196570,Потерянные,C
2000200217862,Потерянные,C
2000200228417,Потерянные,C
2000200218944,Потерянные,C
2000200218982,Потерянные,C
2000200221821,Потерянные,C
2000200181163,Потерянные,C
2000200185536,Потерянные,C
2000200163589,Потерянные,C
2000200208785,Потерянные,C
2000200195962,Потерянные,C
2000200174639,Потерянные,C
2000200219743,Потерянные,C
2000200156536,Потерянные,C
2000200225553,Потерянные,C
2000200228431,Потерянные,C
2000200157748,Потерянные,C
2000200193012,Потерянные,C
2000200192947,Потерянные,C
2000200197140,Потерянные,C
2000200225300,Потерянные,C
2000200207719,Потерянные,C
2000200152767,Потерянные,C
2000200191216,Потерянные,C
2000200213352,Потерянные,C
2000200170099,Потерянные,C
2000200193715,Потерянные,C
2000200206514,Потерянные,C
2000200215844,Потерянные,C
2000200209799,Потерянные,C
2000200219149,Потерянные,C
2000200219569,Потерянные,C
2000200158363,Потерянные,C
2000200218807,Потерянные,C
2000200160199,Потерянные,C
2000200220053,Потерянные,C
2000200190905,Потерянные,C
2000200222842,Потерянные,C
2000200182450,Потерянные,C
2000200203650,Потерянные,C
2000200178613,Потерянные,C
2000200160243,Потерянные,C
2000200211594,Потерянные,C
2000200209492,Потерянные,C
2000200206743,Потерянные,C
2000200165217,Потерянные,C
2000200187929,Потерянные,C
2000200221289,Потерянные,C
2000200176596,Потерянные,C
2000200220893,Потерянные,C
2000200225874,Потерянные,C
2000200219200,Потерянные,C
2000200235422,Потерянные,C
2000200196198,Потерянные,C
2000200208549,Потерянные,C
2000200220985,Потерянные,C
2000200177760,Потерянные,C
2000200193418,Потерянные,C
2000200223696,Потерянные,C
2000200229940,Потерянные,C
2000200192817,Потерянные,C
2000200183204,Потерянные,C
2000200204787,Потерянные,C
2000200219262,Потерянные,C
2000200151456,Потерянные,C
2000200221418,Потерянные,C
2000200226154,Потерянные,C
2000200249702,Потерянные,C
2000200206323,Потерянные,C
2000200201649,Потерянные,C
2000200156543,Потерянные,C
2000200168386,Потерянные,C
2000200218753,Потерянные,C
2000200217626,Потерянные,C
2000200167273,Потерянные,C
2000200221098,Потерянные,C
2000200164302,Потерянные,C
2000200214199,Потерянные,C
2000200222057,Потерянные,C
2000200214366,Потерянные,C
2000200232742,Потерянные,C
2000200156734,Потерянные,C
2000200180654,Потерянные,C
2000200177111,Потерянные,C
2000200158554,Потерянные,C
2000200193654,Потерянные,C
2000200172314,Потерянные,C
2000200225263,Потерянные,C
2000200221555,Потерянные,C
2000200215875,Потерянные,C
2000200226338,Потерянные,C
2000200176954,Потерянные,C
2000200214809,Потерянные,C
2000200228233,Потерянные,C
2000200232186,Потерянные,C
2000200223160,Потерянные,C
2000200237228,Потерянные,C
2000200226765,Потерянные,C
2000200223740,Потерянные,C
2000200203742,Потерянные,C
2000200180913,Потерянные,C
2000200188872,Потерянные,C
2000200198574,Потерянные,C
2000200216957,Потерянные,C
2000200222637,Потерянные,C
2000200190042,Потерянные,C
2000200196167,Потерянные,C
2000200217473,Потерянные,C
2000200221920,Потерянные,C
2000200191711,Потерянные,C
2000200200383,Потерянные,C
2000200216216,Потерянные,C
2000200248828,Потерянные,C
2000200198208,Потерянные,C
2000200228639,Потерянные,C
2000200195528,Потерянные,C
2000200227243,Потерянные,C
2000200158745,Потерянные,C
2000200159377,Потерянные,C
2000200226369,Потерянные,C
2000200236108,Потерянные,C
2000200195450,Потерянные,C
2000200213710,Потерянные,C
2000200225102,Потерянные,C
2000200203988,Потерянные,C
2000200212607,Потерянные,C
2000200201410,Потерянные,C
2000200219699,Потерянные,C
2000200192497,Потерянные,C
2000200220763,Потерянные,C
2000200223139,Потерянные,C
2000200230939,Потерянные,C
2000200228646,Потерянные,C
2000200229339,Потерянные,C
2000200233480,Потерянные,C
2000200229834,Потерянные,C
2000200197416,Потерянные,C
2000200193883,Потерянные,C
2000200212782,Потерянные,C
2000200189008,Потерянные,C
2000200214052,Потерянные,C
2000200219392,Потерянные,C
2000200189503,Потерянные,C
2000200159278,Потерянные,C
2000200211471,Потерянные,C
2000200216810,Потерянные,C
2000200159384,Потерянные,C
2000200175490,Потерянные,C
2000200201809,Потерянные,C
2000200228783,Потерянные,C
2000200194729,Потерянные,C
2000200195290,Потерянные,C
2000200204923,Потерянные,C
2000200211976,Потерянные,C
2000200181705,Потерянные,C
2000200208693,Потерянные,C
2000200222125,Потерянные,C
2000200210368,Потерянные,C
2000200191063,Потерянные,C
2000200181088,Потерянные,C
2000200216094,Потерянные,C
2000200212638,Потерянные,C
2000200212751,Потерянные,C
2000200163978,Потерянные,C
2000200187592,Потерянные,C
2000200189015,Потерянные,C
2000200169239,Потерянные,C
2000200219460,Потерянные,C
2000200229346,Потерянные,C
2000200231370,Потерянные,C
2000200184225,Потерянные,C
2000200209805,Потерянные,C
2000200225447,Потерянные,C
2000200232537,Потерянные,C
2000200226345,Потерянные,C
2000200180845,Потерянные,C
2000200195559,Потерянные,C
2000200222446,Потерянные,C
2000200224822,Потерянные,C
2000200182016,Потерянные,C
2000200228615,Потерянные,C
2000200232056,Потерянные,C
2000200201243,Потерянные,C
2000200218319,Потерянные,C
2000200219576,Потерянные,C
2000200220312,Потерянные,C
2000200196846,Потерянные,C
2000200198130,Потерянные,C
2000200234630,Потерянные,C
2000200159483,Потерянные,C
2000200196365,Потерянные,C
2000200211488,Потерянные,C
2000200197454,Потерянные,C
2000200209959,Потерянные,C
2000200214472,Потерянные,C
2000200154648,Потерянные,C
2000200179436,Потерянные,C
2000200194132,Потерянные,C
2000200193869,Потерянные,C
2000200248095,Потерянные,C
2000200218821,Потерянные,C
2000200225621,Потерянные,C
2000200153313,Потерянные,C
2000200174714,Потерянные,C
2000200225225,Потерянные,C
2000200220947,Потерянные,C
2000200181354,Потерянные,C
2000200208471,Потерянные,C
2000200229827,Потерянные,C
2000200214007,Потерянные,C
2000200222200,Потерянные,C
2000200156017,Потерянные,C
2000200171881,Потерянные,C
2000200210481,Потерянные,C
2000200195245,Потерянные,C
2000200209546,Потерянные,C
2000200222767,Потерянные,C
2000200233169,Потерянные,C
2000200155607,Потерянные,C
2000200167228,Потерянные,C
2000200214656,Потерянные,C
2000200218791,Потерянные,C
2000200222477,Потерянные,C
2000200228059,Потерянные,C
2000200161523,Потерянные,C
2000200183822,Потерянные,C
2000200215417,Потерянные,C
2000200211716,Потерянные,C
2000200216230,Потерянные,C
2000200222606,Потерянные,C
2000200184492,Потерянные,C
2000200222668,Потерянные,C
2000200228578,Потерянные,C
2000200189169,Потерянные,C
2000200219101,Потерянные,C
2000200153160,Потерянные,C
2000200166078,Потерянные,C
2000200185543,Потерянные,C
2000200191476,Потерянные,C
2000200207351,Потерянные,C
2000200216490,Потерянные,C
2000200216896,Потерянные,C
2000200218586,Потерянные,C
2000200216421,Потерянные,C
2000200224013,Потерянные,C
2000200227182,Потерянные,C
2000200174226,Потерянные,C
2000200194385,Потерянные,C
2000200211877,Потерянные,C
2000200223771,Потерянные,C
2000200164685,Потерянные,C
2000200196334,Потерянные,C
2000200219118,Потерянные,C
2000200186922,Потерянные,C
2000200216001,Потерянные,C
2000200179245,Потерянные,C
2000200213970,Потерянные,C
2000200233404,Потерянные,C
2000200196006,Потерянные,C
2000200188650,Потерянные,C
2000200229452,Потерянные,C
2000200232230,Потерянные,C
2000200203919,Потерянные,C
2000200211693,Потерянные,C
2000200157717,Потерянные,C
2000200188971,Потерянные,C
2000200213499,Потерянные,C
2000200209157,Потерянные,C
2000200215783,Потерянные,C
2000200223177,Потерянные,C
2000200158271,Потерянные,C
2000200232872,Потерянные,C
2000200158387,Потерянные,C
2000200203797,Потерянные,C
2000200231936,Потерянные,C
2000200151524,Потерянные,C
2000200229292,Потерянные,C
2000200226444,Потерянные,C
2000200232063,Потерянные,C
2000200158080,Потерянные,C
2000200195474,Потерянные,C
2000200161714,Потерянные,C
2000200233794,Потерянные,C
2000200232223,Потерянные,C
2000200181453,Потерянные,C
2000200221333,Потерянные,C
2000200224143,Потерянные,C
2000200208747,Потерянные,C
2000200216124,Потерянные,C
2000200227205,Потерянные,C
2000200195832,Потерянные,C
2000200224273,Потерянные,C
2000200211051,Потерянные,C
2000200223849,Потерянные,C
2000200234449,Потерянные,C
2000200222705,Потерянные,C
2000200156925,Потерянные,C
2000200207245,Потерянные,C
2000200211075,Потерянные,C
2000200222484,Потерянные,C
2000200161639,Потерянные,C
2000200217985,Потерянные,C
2000200219026,Потерянные,C
2000200207672,Потерянные,C
2000200215943,Потерянные,C
2000200156291,Потерянные,C
2000200211259,Потерянные,C
2000200190370,Потерянные,C
2000200219873,Потерянные,C
2000200223283,Потерянные,C
2000200223603,Потерянные,C
2000200228837,Потерянные,C
2000200230618,Потерянные,C
2000200236160,Потерянные,C
2000200236252,Потерянные,C
2000200227472,Потерянные,C
2000200217893,Потерянные,C
2000200226994,Потерянные,C
2000200228240,Потерянные,C
2000200173946,Потерянные,C
2000200185000,Потерянные,C
2000200215028,Потерянные,C
2000200217992,Потерянные,C
2000200248521,Потерянные,C
2000200193500,Потерянные,C
2000200229124,Потерянные,C
2000200215974,Потерянные,C
2000200224945,Потерянные,C
2000200234593,Потерянные,C
2000200230601,Потерянные,C
2000200191230,Потерянные,C
2000200223887,Потерянные,C
2000200172277,Потерянные,C
2000200201441,Потерянные,C
2000200208181,Потерянные,C
2000200195894,Потерянные,C
2000200213093,Потерянные,C
2000200227700,Потерянные,C
2000200191278,Потерянные,C
2000200203636,Потерянные,C
2000200223528,Потерянные,C
2000200194422,Потерянные,C
2000200199281,Потерянные,C
2000200156321,Потерянные,C
2000200184218,Потерянные,C
2000200193388,Потерянные,C
2000200221586,Потерянные,C
2000200233220,Потерянные,C
2000200208167,Потерянные,C
2000200220749,Потерянные,C
2000200234777,Потерянные,C
2000200227038,Потерянные,C
2000200215981,Потерянные,C
2000200192800,Потерянные,C
2000200196792,Потерянные,C
2000200228127,Потерянные,C
2000200194095,Потерянные,C
2000200230649,Потерянные,C
2000200158325,Потерянные,C
2000200216704,Потерянные,C
2000200158752,Потерянные,C
2000200224662,Потерянные,C
2000200227076,Потерянные,C
2000200200970,Потерянные,C
2000200220916,Потерянные,C
2000200189237,Потерянные,C
2000200195979,Потерянные,C
2000200182290,Потерянные,C
2000200192039,Потерянные,C
2000200204954,Потерянные,C
2000200216339,Потерянные,C
2000200196990,Потерянные,C
2000200196471,Потерянные,C
2000200224518,Потерянные,C
2000200194361,Потерянные,C
2000200203773,Потерянные,C
2000200212942,Потерянные,C
2000200220961,Потерянные,C
2000200167259,Потерянные,C
2000200222286,Потерянные,C
2000200156413,Потерянные,C
2000200197089,Потерянные,C
2000200204060,Потерянные,C
2000200224099,Потерянные,C
2000200188957,Потерянные,C
2000200228745,Потерянные,C
2000200195641,Потерянные,C
2000200204671,Потерянные,C
2000200214168,Потерянные,C
2000200218364,Потерянные,C
2000200157618,Потерянные,C
2000200218050,Потерянные,C
2000200219156,Потерянные,C
2000200180050,Потерянные,C
2000200181156,Потерянные,C
2000200193944,Потерянные,C
2000200215967,Потерянные,C
2000200200888,Потерянные,C
2000200203711,Потерянные,C
2000200205050,Потерянные,C
2000200220688,Потерянные,C
2000200197799,Потерянные,C
2000200229582,Потерянные,C
2000200217541,Потерянные,C
2000200185819,Потерянные,C
2000200225812,Потерянные,C
2000200226680,Потерянные,C
2000200183150,Потерянные,C
2000200209317,Потерянные,C
2000200221449,Потерянные,C
2000200221852,Потерянные,C
2000200234302,Потерянные,C
2000200220138,Потерянные,C
2000200220183,Потерянные,C
2000200248255,Потерянные,C
2000200224037,Потерянные,C
2000200158301,Потерянные,C
2000200160755,Потерянные,C
2000200179207,Потерянные,C
2000200181392,Потерянные,C
2000200181965,Потерянные,C
2000200232131,Потерянные,C
2000200232315,Потерянные,C
2000200161929,Потерянные,C
2000200178354,Потерянные,C
2000200223795,Потерянные,C
2000200226604,Потерянные,C
2000200191124,Потерянные,C
2000200193074,Потерянные,C
2000200218241,Потерянные,C
2000200176558,Потерянные,C
2000200195276,Потерянные,C
2000200195580,Потерянные,C
2000200218579,Потерянные,C
2000200163367,Потерянные,C
2000200197294,Потерянные,C
2000200158523,Потерянные,C
2000200228554,Потерянные,C
2000200233039,Потерянные,C
2000200191322,Потерянные,C
2000200233541,Потерянные,C
2000200203995,Потерянные,C
2000200218883,Потерянные,C
2000200234609,Потерянные,C
2000200182023,Потерянные,C
2000200215103,Потерянные,C
2000200168485,Потерянные,C
2000200223757,Потерянные,C
2000200224419,Потерянные,C
2000200190110,Потерянные,C
2000200199885,Потерянные,C
2000200177678,Потерянные,C
2000200198499,Потерянные,C
2000200166689,Потерянные,C
2000200192633,Потерянные,C
2000200209270,Потерянные,C
2000200164173,Потерянные,C
2000200229711,Потерянные,C
2000200196655,Потерянные,C
2000200227458,Потерянные,C
2000200209362,Потерянные,C
2000200226079,Потерянные,C
2000200208099,Потерянные,C
2000200151562,Потерянные,C
2000200195627,Потерянные,C
2000200227052,Потерянные,C
2000200172437,Потерянные,C
2000200229506,Потерянные,C
2000200160434,Потерянные,C
2000200220107,Потерянные,C
2000200226581,Потерянные,C
2000200231837,Потерянные,C
2000200209768,Потерянные,C
2000200158868,Потерянные,C
2000200193791,Потерянные,C
2000200210443,Потерянные,C
2000200212430,Потерянные,C
2000200165149,Потерянные,C
2000200227656,Потерянные,C
2000200213017,Потерянные,C
2000200210429,Потерянные,C
2000200158134,Потерянные,C
2000200194637,Потерянные,C
2000200228516,Потерянные,C
2000200176312,Потерянные,C
2000200232902,Потерянные,C
2000200184430,Потерянные,C
2000200222309,Потерянные,C
2000200220923,Потерянные,C
2000200220886,Потерянные,C
2000200232797,Потерянные,C
2000200218647,Потерянные,C
2000200181224,Потерянные,C
2000200205548,Потерянные,C
2000200212690,Потерянные,C
2000200195252,Потерянные,C
2000200170402,Потерянные,C
2000200166351,Потерянные,C
2000200207443,Потерянные,C
2000200234654,Потерянные,C
2000200230540,Потерянные,C
2000200234807,Потерянные,C
2000200212447,Потерянные,C
2000200200666,Потерянные,C
2000200186724,Потерянные,C
