card,segment,abc_revenue
2000200158196,Лояльные,A
2000200238317,Лояльные,A
2000200221364,Лояльные,A
2000200192466,Лояльные,A
2000200194996,Лояльные,A
2000200179375,Лояльные,A
2000200225478,Лояльные,A
2000200176107,Лояльные,A
2000200245698,Лояльные,A
2000200171034,Лояльные,A
2000200228288,Лояльные,A
2000200233954,Лояльные,A
2000200229100,Лояльные,A
2000200218548,Лояльные,A
2000200173182,Лояльные,A
2000200212188,Лояльные,A
2000200209034,Лояльные,A
2000200209683,Лояльные,A
2000200154242,Лояльные,A
2000200210139,Лояльные,A
2000200197270,Лояльные,A
2000200216988,Лояльные,A
2000200258131,Лояльные,A
2000200225171,Лояльные,A
2000200234128,Лояльные,A
2000200253495,Лояльные,A
2000200236009,Лояльные,A
2000200243588,Лояльные,A
2000200197249,Лояльные,A
2000200174110,Лояльные,A
2000200173175,Лояльные,A
2000200150589,Лояльные,A
2000200216803,Лояльные,A
2000200233817,Лояльные,A
2000200210009,Лояльные,A
2000200174172,Лояльные,A
2000200211235,Лояльные,A
2000200164050,Лояльные,A
2000200233329,Лояльные,A
2000200155416,Лояльные,A
2000200248132,Лояльные,A
2000200214595,Лояльные,A
2000200212577,Лояльные,A
2000200235231,Лояльные,A
2000200207535,Лояльные,A
2000200172475,Лояльные,A
2000200235378,Лояльные,A
2000200196785,Лояльные,A
2000200258377,Лояльные,A
2000200228523,Лояльные,A
2000200193777,Лояльные,A
2000200163343,Лояльные,A
2000200237136,Лояльные,A
2000200173328,Лояльные,A
2000200161318,Лояльные,A
2000200177180,Лояльные,A
2000200247265,Лояльные,A
2000200205562,Лояльные,A
2000200227557,Лояльные,A
2000200203490,Лояльные,A
2000200222422,Лояльные,A
2000200238201,Лояльные,A
2000200232858,Лояльные,A
2000200244493,Лояльные,A
2000200198673,Лояльные,A
2000200229681,Лояльные,A
2000200192480,Лояльные,A
2000200228172,Лояльные,A
2000200233510,Лояльные,A
2000200212706,Лояльные,A
2000200230304,Лояльные,A
2000200209119,Лояльные,A
2000200188964,Лояльные,A
2000200230274,Лояльные,A
2000200234920,Лояльные,A
2000200181521,Лояльные,A
2000200213192,Лояльные,A
2000200205036,Лояльные,A
2000200225218,Лояльные,A
2000200189435,Лояльные,A
2000200203025,Лояльные,A
2000200214083,Лояльные,A
2000200237235,Лояльные,A
2000200192671,Лояльные,A
2000200176824,Лояльные,A
2000200229353,Лояльные,A
2000200252627,Лояльные,A
2000200191087,Лояльные,A
2000200180272,Лояльные,A
2000200198093,Лояльные,A
2000200207559,Лояльные,A
2000200181248,Лояльные,A
2000200214731,Лояльные,A
2000200194668,Лояльные,A
2000200160250,Лояльные,A
2000200221845,Лояльные,A
2000200208044,Лояльные,A
2000200185567,Лояльные,A
2000200233749,Лояльные,A
2000200193111,Лояльные,A
2000200179825,Лояльные,A
2000200241522,Лояльные,A
2000200206453,Лояльные,A
2000200220572,Лояльные,A
2000200196303,Лояльные,A
2000200207368,Лояльные,A
2000200194460,Лояльные,A
2000200158455,Лояльные,A
2000200229469,Лояльные,A
2000200237969,Лояльные,A
2000200225034,Лояльные,A
2000200158349,Лояльные,A
2000200159193,Лояльные,A
2000200248736,Лояльные,A
2000200189541,Лояльные,A
2000200220244,Лояльные,A
2000200225164,Лояльные,A
2000200210870,Лояльные,A
2000200252689,Лояльные,A
2000200228813,Лояльные,A
2000200242734,Лояльные,A
2000200243953,Лояльные,A
2000200214663,Лояльные,A
2000200225249,Лояльные,A
2000200222934,Лояльные,A
2000200171577,Лояльные,A
2000200244417,Лояльные,A
2000200189114,Лояльные,A
2000200227489,Лояльные,A
2000200224235,Лояльные,A
2000200165316,Лояльные,A
2000200255130,Лояльные,A
2000200161967,Лояльные,A
2000200222743,Лояльные,A
2000200205944,Лояльные,A
2000200194002,Лояльные,A
2000200246596,Лояльные,A
2000200209935,Лояльные,A
2000200200246,Лояльные,A
2000200196631,Лояльные,A
2000200247364,Лояльные,A
2000200177692,Лояльные,A
2000200254041,Лояльные,A
2000200220879,Лояльные,A
2000200247869,Лояльные,A
2000200239222,Лояльные,A
2000200160908,Лояльные,A
2000200207856,Лояльные,A
2000200198000,Лояльные,A
2000200176114,Лояльные,A
2000200204589,Лояльные,A
2000200196525,Лояльные,A
2000200191452,Лояльные,A
2000200207436,Лояльные,A
2000200191582,Лояльные,A
2000200170877,Лояльные,A
2000200157434,Лояльные,A
2000200244479,Лояльные,A
2000200208525,Лояльные,A
2000200242499,Лояльные,A
2000200197744,Лояльные,A
2000200160380,Лояльные,A
2000200173304,Лояльные,A
2000200203100,Лояльные,A
2000200226741,Лояльные,A
2000200182559,Лояльные,A
2000200247852,Лояльные,A
2000200186557,Лояльные,A
2000200152576,Лояльные,A
2000200226307,Лояльные,A
2000200174578,Лояльные,A
2000200160403,Лояльные,A
2000200202943,Лояльные,A
2000200169413,Лояльные,A
2000200223474,Лояльные,A
2000200202004,Лояльные,A
2000200157809,Лояльные,A
2000200171348,Лояльные,A
2000200184096,Лояльные,A
2000200209096,Лояльные,A
2000200179511,Лояльные,A
2000200193784,Лояльные,A
2000200230090,Лояльные,A
2000200205531,Лояльные,A
2000200218470,Лояльные,A
2000200224631,Лояльные,A
2000200248774,Лояльные,A
2000200188636,Лояльные,A
2000200218678,Лояльные,A
2000200214625,Лояльные,A
2000200248552,Лояльные,A
2000200193630,Лояльные,A
2000200217244,Лояльные,A
2000200154204,Лояльные,A
2000200234852,Лояльные,A
2000200204152,Лояльные,A
2000200249726,Лояльные,A
2000200233923,Лояльные,A
2000200211839,Лояльные,A
2000200211341,Лояльные,A
2000200182580,Лояльные,A
2000200204602,Лояльные,A
2000200198741,Лояльные,A
2000200194828,Лояльные,A
2000200201984,Лояльные,A
2000200232704,Лояльные,A
2000200217534,Лояльные,A
2000200229117,Лояльные,A
2000200165460,Лояльные,A
2000200210207,Лояльные,A
2000200163053,Лояльные,A
2000200249665,Лояльные,A
2000200244349,Лояльные,A
2000200189770,Лояльные,A
2000200258230,Лояльные,A
2000200182498,Лояльные,A
2000200239420,Лояльные,A
2000200238133,Лояльные,A
2000200235477,Лояльные,A
2000200220015,Лояльные,A
2000200185314,Лояльные,A
2000200190974,Лояльные,A
2000200211334,Лояльные,A
2000200185055,Лояльные,A
2000200179306,Лояльные,A
2000200165262,Лояльные,A
2000200222859,Лояльные,A
2000200208761,Лояльные,A
2000200170150,Лояльные,A
2000200194613,Лояльные,A
2000200174134,Лояльные,A
2000200177913,Лояльные,A
2000200189725,Лояльные,A
2000200231431,Лояльные,A
2000200160724,Лояльные,A
2000200207689,Лояльные,A
2000200222873,Лояльные,A
2000200189428,Лояльные,A
2000200171416,Лояльные,A
2000200189671,Лояльные,A
2000200210115,Лояльные,A
2000200194446,Лояльные,A
2000200245476,Лояльные,A
2000200196976,Лояльные,A
2000200167730,Лояльные,A
2000200207627,Лояльные,A
2000200248064,Лояльные,A
2000200219682,Лояльные,A
2000200205357,Лояльные,A
2000200185932,Лояльные,A
2000200228134,Лояльные,A
2000200183259,Лояльные,A
2000200211273,Лояльные,A
2000200182870,Лояльные,A
2000200191698,Лояльные,A
2000200226864,Лояльные,A
2000200198055,Лояльные,A
2000200205067,Лояльные,A
2000200202998,Лояльные,A
2000200249191,Лояльные,A
2000200223313,Лояльные,A
2000200210924,Лояльные,A
2000200165095,Лояльные,A
2000200218036,Лояльные,A
2000200212652,Лояльные,A
2000200150480,Лояльные,A
2000200239697,Лояльные,A
2000200158837,Лояльные,A
2000200176480,Лояльные,A
2000200203254,Лояльные,A
2000200240778,Лояльные,A
2000200229155,Лояльные,A
2000200191353,Лояльные,A
2000200209089,Лояльные,A
2000200234296,Лояльные,A
2000200211280,Лояльные,A
2000200215660,Лояльные,A
2000200224488,Лояльные,A
2000200163992,Лояльные,A
2000200227311,Лояльные,A
2000200206378,Лояльные,A
2000200244783,Лояльные,A
2000200200727,Лояльные,A
2000200218166,Лояльные,A
2000200196594,Лояльные,A
2000200233558,Лояльные,A
2000200206828,Лояльные,A
2000200245421,Лояльные,A
2000200226598,Лояльные,A
